ID,Title,Alternative Title,Year,Certificate,Director,Language,Duration,Country of Origin,Actors,tmdb_id
98774,The Miners' Hymns,,2010,U,Bill Morrison,English,50,Great Britain,,105553
98377,CFFUK presents: American Dreams in China ,,2013,12A,Peter Ho-Sun Chan,Mandarin,110,"Hong Kong, China","Huang Xiaoming, Deng Chao, Tong Dawei, Du Juan"
98899,Age of Uprising: The Legend of Michael Kohlhaas,,2013,15,Arnaud des PalliËres,"French, German, Occitan",122,"France, Germany","Mads Mikkelsen, MÈlusine Mayance, Delphine Chuillot",186971
98768,American Hustle,,2013,15,David. O. Russell,English,138,US,"Christian Bale, Amy Adams, Bradley Cooper, Jennifer Lawrence",168672
98736,Fanny,,2013,PG,Daniel Auteuil,French,102,France,"Jean-Pierre Darroussin, Victoire Belezy, Daniel Auteuil, RaphaÎl Personnaz",43146
98724,Marius,,2013,12A,Daniel Auteuil,French,94,France,"Daniel Auteuil, Jean-Pierre Darroussin, Victoire Belezy, RaphaÎl Personnaz",200645
98707,Fill the Void,Lemale et ha'halal,2012,U,Rama Burshtein,Hebrew,90,Israel,"Hadas Yaron, Yiftach Klein, Irit Sheleg",122088
98708,NT Live: King Lear,,2014,live,Sam Mendes,English,210,Great Britain,Simon Russell Beale
98702,On the Waterfront,,1954,PG,Elia Kazan,English,108,US,"Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger, Eva Marie Saint",654
98696,Funny Face,,1957,U,Stanley Donen,English,103,US,"Audrey Hepburn, Fred Astaire, Kay Thompson",13320
98685,The Big City,Mahanagar,1963,PG,Satyajit Ray,Bengali,135,India,"Anil Chatterjee, Madhabi Mukherjee, Jaya Bhaduri",60567
98678,Gone with the Wind,,1939,PG,Victor Fleming,English,233,US,"Clarke Gable, Vivien Leigh, Olivia de Havilland",770
98466,Starred Up,,2013,18,David MacKenzie,English,106,Great Britain,"Jack O'Connell, Ben Mendelsohn, Rupert Friend, Sian Breckin, Sam Spruell",209276
98462,We are the Best! ,Vi ‰r b‰st!,2013,15,Lukas Moodysson,Swedish,102,Sweden,"Mira Barkhammar, Mira Grosin, Liv MeMoyne",191294
98450,The Strange Colour of your Bodyís Tears,LíÈtrange couleur des larmes de ton corps,2013,18,"Bruno Forzani, HÈlËne Cattet","Dutch, French",102,"Belgium, France, Luxemburg","Klaus Tange, Ursula Bedena, Joe Koener",208284
98444,The Grand Budapest Hotel,,2014,15,Wes Anderson,English,100,US,"Ralph Fiennes, Tilda Swinton, Adrien Brody, Edward Norton, Jason Schwartzman, Owen Wilson, Bill Murray",120467
98435,Only Lovers Left Alive,,2013,15,Jim Jarmusch,English,123,"GB, Germany, France, US","Tom Hiddleston, Tilda Swinton, Mia Wasikowska, John Hurt",152603
98426,The Invisible Woman ,,2013,12A,Ralph Fiennes,English,111,Great Britain,"Ralph Fiennes, Felicity Jones, Kristin Scott Thomas, Tom Hollander, Michelle Fairley",111473
98417,Her,,2013,15,Spike Jonze,English,126,US,"Joaquin Phoenix, Amy Adams, Scarlett Johansson",152601
98415,The Wolf of Wall Street ,,2013,18,Martin Scorsese,English,180,US,"Leonardo DiCaprio, Jonah Hill, Margot Robbie, Matthew McConaughey",106646
98406,The Missing Picture,Líimage manquante,2013,12A,Rithy Panh,French,95,"Cambodia, France",,186997
98398,The Railway Man ,,2013,15,Jonathan Teplitzky,English,116,"Australia, GB","Colin Firth, Nicole Kidman, Stellan SkarsgÂrd, Jeremy Irvine",127560
98389,Inside Llewyn Davis,,2013,15,"Ethan Coen, Joel Coen",English,105,"US, France","Oscar Isaac, Carey Mulligan, Justin Timberlake, John Goodman",86829
98381,Dallas Buyers Club,,2013,15,Jean-Marc VallÈe,English,117,US,"Matthew McConaughey, Jennifer Garner, Jared Leto",152532
98363,Temporal,Temporary,2013,15,Catxo,Spanish,84,Spain,"Melanie Olivares, Adri·n Lastra, Nuria Mencia, Maggie Civantos, Alfonso Torregrosa, Violeta PÈrez, Luis Callejo",235421
98361,Con la pata quebrada,Barefoot and in the Kitchen,2013,15,Diego Gal·n,Spanish,86,Spain,,218681
98354,Hawaii,,2013,15,Marco Berger,Spanish,102,Argentina,"Manuel Vignau, Mateo Chiarino",199851
98335,Preview/ Pelo malo,Bad Hair,2013,15,Mariana RondÛn,Spanish,93,Venezuela,"Samuel Lange Zambrano, Samantha Castillo, Nelly Ramos, Beto Benites"
98323,The Golden Dream,La Jaula de oro,2013,15,Diego Quemada-DÌez,Spanish,110,"Mexico, Spain","Brandon LÛpez, Rodolfo DomÌnguez, Karen MartÌnez, Carlos ChajÛn",186976
98316,El Medico: The Cubaton Story,,2011,15,Daniel Fridell,Spanish,85,"Cuba, Spain",,147841
98310,El Limpiador,The Cleaner,2012,12A,Adri·n Saba,Spanish,96,Peru,"Adrian du Bois, VÌctor Prada",139306
98303,DÌas de vinilo,Days of Vinyl,2012,PG,Gabriel Nesci,Spanish,105,"Argentina, Columbia","GastÛn Pauls, Fern·n Mir·s, Ignacio Toselli, Rafael Spregelburd, InÈs Efron, Leonardo Sbaraglia",216904
98297,Ni un hombre m·s,Iguana Stew,2012,18,MartÌn Salinas,Spanish,83,Argentina,"Valeria Bertuccelli, Martin Piroyansky, Luis Ziembrowski, Mariela Vitale, Juan MinujÌn",195917
97978,How To Survive A Plague,,2012,15,David France,English,110,US,,84286
98069,Streetwise Opera present The Answer To Everything,,2013,PG,"Emma Bernard (Opera), Rupert Jones (Film)",English,70,GB,
98061,Scratch 'n Sniff Cinema presents The Wicker Man: The Final Cut,,1973,15,Robin Hardy,English,88,GB,"Edward Woodward, Christopher Lee, Diane Cilento, Britt Ekland"
98053,Whatever Happened to Baby Jane? plus Interactive Performance,,1962,12A,Robert Aldrich,English,132,US,"Bette Davis, Joan Crawford, Victor Buono, Wesley Addy"
97775,Act of Vengeance,,1974,18,Bob Kelljan,English,90,US,"Jo Ann Harris, Peter Brown, Jennifer Lee, Connie Strickland",66765
97770,Jackson County Jail,,1976,18,Michael Miller,English,89,US,"Yvette Mimieux, Tommy Lee Jones, Lisa Copeland",21950
97764,Mandingo,,1975,18,Richard Fleisher,English,125,US,"James Mason, Susan George, Perry King",38027
97751,The Bird with the Crystal Plumage,Líuccello dalle piume di cristallo,1970,15,Dario Argento,Italian,96,"Italy, Germany","Tony Musante, Suzy Kendall, Enrico Maria Salerno",20345
97756,A Bay of Blood,Reazione a catena,1971,18,Mario Bava,Italian,84,Italy,"Claudine Auger, Luigi Pistilli, Claudio Volonte, Anna Maria Rosati",5486
97752,The Living Dead at the Manchester Morgue,Non si deve profanare il sonno dei morti,1975,18,Jorge Grau,"Italian, Spanish",93,"Spain, Italy",Christine Galbo,25627
97338,Floating Skyscrapers ,Plynace wiezowce,2013,18,Tomasz Wasilewski,Polish,93,Poland,"Mateusz Banasiuk, Marta Nieradkiewicz, Bartosz Gelner",174372
97327,The Patience Stone,,2012,15,Atiq Rahimi,Farsi,102,"France, Germany, Afghanistan","Golshifteh Farahani, Hamid Djavdan, Hassina Burgan, Massi Mrowat",128158
97057,12 Years A Slave,,2013,15,Steve McQueen,English,134,US,"Chiwetel Ejiofor, Michael K. Williams, Michael Fassbender, Paul Dano, Benedict Cumberbatch, Brad Pitt",76203
95908,RSC Live: The Two Gentlemen of Verona,,,live,Simon Godwin,,,,
96692,The Epic of Everest,,1924,U,J. B. L. Noel,English,87,Great Britain,,217268
96684,Muscle Shoals ,,2013,PG,Greg Camalier,English,112,US,,159151
96547,Short Term 12 ,,2013,15,Destin Cretton,,97,US,"Brie Larson, John Gallagher Jr, Kaitlyn Dever",169813
95947,RSC Live: Henry IV Part II,,,live,"Alex Hassell, Gregory Doran, Jasper Britton",,,,Antony Sher
95911,RSC Live: Henry IV Part I,,,live,Gregory Doran,,,,"Antony Sher, Jasper Britton, Alex Hassell"
96248,Utopia,,2013,12A,"Alan Lowery, John Pilger",English,115,US,,207427
96185,NÈ quelque part,Homeland,2012,12A,Mohamed Hamidi,"Arabic, French",87,"France, Algeria","Jamel Debbouze, Tewfik Jallab, Abdelkader Secteur, Mourad Zaoui",199914
95592,Viva Riva! ,,2010,15,Djo Munga,"French, Lingala",98,"Belgium, France, Democratic Republic of the Congo","Patsha Bay, Manie Malone, Hoji Fortuna, Diplome Amekindra",63946
96251,Leviathan,,2012,12A,"Lucien Castaing-Taylor, VÈrÈna Paravel",English,87,"US, France, UK",,14372
96235,Computer Chess,,2013,15,Andrew Bujalski,English,92,US,"Patrick Riester, Wiley Wiggins, Myles Paige, Robin Schwartz",158743
96224,The Nun,La religieuse,2013,12A,Guillaume Nicloux,"French, Latin",112,"France, Germany, Belgium","Pauline Etienne, Isabelle Huppert, Louise Bourgoin, Martina Gedeck",241593
95767,Gravity (2D),,2013,12A,Alfonso CuarÛn,English,91,"US, Great Britain","Sandra Bullock, George Clooney, Ed Harris"
95731,The Crash Reel,,2013,12A,Lucy Walker,,108,,,159138
95399,In the Name Of,W imie...,2013,15,Ma,Polish,102,Poland,"Andrzej Chyra, Mateusz Kosciukiewicz, Lukasz Simlat",60117
95392,How I Live Now,,2013,15,Kevin Macdonald,English,101,Great Britain,"Saoirse Ronan, Tom Holland, Anna Chancellor",162215
95015,Lady In The Lake,,1947,12A,Robert Montgomery,English,102,US,"Robert Montgomery, Audrey Totter, Lloyd Nolan",1841
95042,A Midnight Clear,,1992,15,Keith Gordon,English,104,US,"Peter Berg, Kevin Dillon, Arye Gross, Ethan Hawke, Gary Sinise, Frank Whaley",23908
95284,NT Live: War Horse,,,live,,,180,,
95266,EvidentlyÖ John Cooper Clarke LIVE!,,2012,15,John Ross,English,60,UK,
95180,The Habit of Art (Encore),,2010,15,Nicholas Hytner,,,,"Richard Griffiths, Alex Jennings, Frances De La Tour"
95038,Curse Of The Cat People,,1944,U,"Gunther von Fritsch, Robert Wise",English,70,US,"Simone Simon, Kent Smith, Jane Randolph",28436
94979,Orchestra of Exiles,,2012,12A,Josh Aronson,English,85,"US, Israel","Zubin Mehta, Itzhak Perlman, Pinkhas Zuckerman, Joshua Bell",139705
94989,Broadway Musicals: A Jewish Legacy,,2012,PG,Michael Kantor,English,90,US,,185326
94995,Regina,,2013,PG,Diana GroÛ,"English, Hungarian",63,"Hungary, Great Britain, Germany",,200401
94706,Bambi,,2013,15,SÈbastien Lifshitz,French,58,France,,3170
94708,Black Girl,La Noire de...,1966,12A,Ousmane Sembene,French,65,"France, Senegal","Mbissine ThÈrËse Diop, Anne-Marie Jelinek, Robert Fontaine",84728
94696,Rough Cut,,2013,15,Jamie Shovlin,English,90,Great Britain,Agnes Aspen,243704
94740,Le Week-End,,2013,15,Roger Michell,English,93,Great Britain,"Jeff Goldblum, Jim Broadbent, Lindsay Duncan",209350
94810,Philomena,,2013,12A,Stephen Frears,English,98,"Great Britain, France, USA","Judi Dench, Steve Coogan, Charlie Murphy, Sophie Kennedy Clark",205220
94814,Blue is the Warmest Colour,,2013,18,Abdellatif Kechiche,French,180,France,"Lea Seydoux, AdËle Exarchopoulos, Salim Kechiouche",152584
94836,Don Jon,,2013,18,Joseph Gordon-Levitt,English,90,US,"Joseph Gordon-Levitt, Scarlett Johanssen, Julianne Moore, Tony Danza",138697
94857,Jeune & Jolie ,Young and Beautiful,2013,18,FranÁois Ozon,French,94,France,"Marine Vacth, GÈraldine Pailhas, FrÈdÈric Pierrot, Fantin Ravat",184314
94866,Nebraska,,2013,15,Alexander Payne,English,115,US,"Bruce Dern, Will Forte, June Squibb",129670
94797,The Selfish Giant ,,2013,15,Clio Barnard,English,91,GB,"Conner Chapman, Shaun Thomas, Sean Gilder",194101
94795,Prince Avalanche ,,2013,15,David Gordon Green,English,94,US,"Paul Rudd, Emile Hirsch",113148
94786,"Like Father, Like Son ",Soshite chichi ni naru,2013,PG,Hirokazu Kore-Eda,Japanese,121,Japan,"Masaharu Fukuyama, Machiko Ono, Yoko Maki, Lily Franky",36914
94781,The Broken Circle Breakdown ,,2012,15,Felix Van Groeningen,"English, Flemish",112,Belgium,"Veerle Baetens, Johan Heldenbergh, Nell Cattrysse",137182
94775,Captain Phillips ,,2013,12A,Paul Greengrass,English,134,US,"Tom Hanks, Catherine Keener, Barkhad Abdi",109424
94623,La Plaga,,2013,12A,Neus Ball˙s,"Catalan, Russian, Spanish",85,"Spain, France, Germany",,169343
94617,Film London Jarman Award 2013: Artists in Profile,,,15,,,102,Great Britain,
94608,Gloria,,2012,15,Sebasti·n Lelio,"English, Spanish",110,"Chile, Spain","Paulina GarcÌa, Sergio Hern·ndez, Diego Fontecilla",160068
94603,The Lebanese Rocket Society,,2012,PG,"Joana Hadjithomas, Khalil Joreige",Arabic,96,"Lebanon, France",,128122
94590,For Those In Peril,,2013,18,Paul Wright,English,92,Great,"George MacKay, Kate Dickie, Michael Smiley",187927
94575,The Stuart Hall Project,,2013,12A,John Akomfrah,English,103,Great Britain,,159040
94556,Golden Gate Girls,,2013,PG,Louisa Wei,"Cantonese, English",88,Hong Kong,
94545,The Pervert's Guide to Ideology,,2012,15,Sophie Fiennes,English,136,Great Britain,,128190
93593,The Hitch-Hiker,,1953,12,Ida Lupino,"English, Spanish",70,US,"Edmond O'Brien, Frank Lovejoy, William Talman",41462
